                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.188,                 6.2587,                0.47999,                0.55675,                0.14056,                0.11409,                 0.0644,                 1.0408,                 3.8412,                 0.4375,               0.067485,             0.00066357,             0.00066357
                      2,                 1.0321,                 3.0588,                0.44911,                0.45199,                  0.281,                0.23028,                0.12438,                0.88521,                 2.4944,                0.39844,               0.034816,              0.0013276,              0.0013276
                      3,                0.85762,                  2.225,                0.39014,                0.41976,                0.34249,                0.30423,                0.15222,                0.80829,                 1.9422,                0.36844,               0.002144,               0.001989,               0.001989
                      4,                0.80251,                 1.9247,                0.36582,                0.46961,                0.37406,                 0.3701,                0.20454,                0.76658,                  1.771,                0.35332,              0.0019881,              0.0019881,              0.0019881
                      5,                0.75235,                 1.7228,                0.34628,                0.49027,                0.47216,                0.44177,                0.23564,                0.71143,                 1.4874,                0.33074,              0.0019881,              0.0019881,              0.0019881
                      6,                0.72004,                 1.6262,                0.33443,                0.49992,                0.39316,                0.44286,                0.25446,                0.69419,                 1.5645,                0.32521,              0.0019842,              0.0019842,              0.0019842
                      7,                0.70048,                 1.5119,                0.32556,                0.60753,                0.42962,                0.49803,                0.28442,                0.68368,                 1.4216,                0.31992,              0.0019802,              0.0019802,              0.0019802
                      8,                0.68518,                 1.4749,                0.32382,                0.65032,                0.50019,                 0.5445,                0.32215,                0.64176,                 1.3031,                0.31081,              0.0019762,              0.0019762,              0.0019762
                      9,                0.68531,                 1.4471,                0.31929,                0.63234,                0.46413,                0.52951,                0.30833,                0.64329,                 1.3348,                0.31037,              0.0019723,              0.0019723,              0.0019723
                     10,                0.66264,                 1.4399,                0.32047,                0.60622,                0.52896,                0.56705,                0.33745,                0.63148,                 1.2425,                0.30603,              0.0019683,              0.0019683,              0.0019683
                     11,                0.63034,                 1.3273,                0.30885,                0.63458,                0.54283,                0.55283,                0.33641,                0.60867,                 1.2473,                0.29768,              0.0019644,              0.0019644,              0.0019644
                     12,                0.62519,                 1.2899,                0.30266,                0.64775,                 0.5633,                0.57812,                0.34526,                0.61374,                 1.2133,                0.30007,              0.0019604,              0.0019604,              0.0019604
                     13,                0.64147,                 1.3518,                 0.3077,                0.72651,                0.49778,                0.55989,                0.33728,                0.61669,                 1.2587,                0.29734,              0.0019564,              0.0019564,              0.0019564
                     14,                0.62529,                 1.3377,                0.30504,                0.65425,                0.57102,                0.58682,                0.35266,                0.59101,                 1.1592,                0.29442,              0.0019525,              0.0019525,              0.0019525
                     15,                0.61334,                 1.2775,                0.30411,                 0.7125,                0.55949,                0.63507,                0.39395,                0.57319,                 1.0861,                0.28796,              0.0019485,              0.0019485,              0.0019485
                     16,                0.62085,                 1.2824,                0.30598,                0.68309,                0.57972,                0.62202,                 0.3791,                0.59006,                  1.103,                0.29472,              0.0019446,              0.0019446,              0.0019446
                     17,                0.60638,                  1.225,                0.30002,                0.74061,                0.50278,                 0.5854,                0.35936,                0.58873,                 1.1951,                0.29064,              0.0019406,              0.0019406,              0.0019406
                     18,                0.59488,                  1.215,                0.29758,                0.64459,                0.62079,                0.63371,                0.39866,                 0.5821,                 1.1034,                 0.2903,              0.0019366,              0.0019366,              0.0019366
                     19,                0.59381,                 1.2077,                0.29911,                0.74035,                0.51572,                0.60338,                0.37273,                0.59528,                 1.1764,                0.29473,              0.0019327,              0.0019327,              0.0019327
                     20,                  0.571,                 1.1806,                0.29061,                0.78086,                0.59963,                0.68658,                0.43553,                0.54962,                 1.0113,                  0.286,              0.0019287,              0.0019287,              0.0019287
                     21,                 0.5794,                 1.1597,                 0.2964,                0.71269,                0.58217,                0.66868,                0.42416,                0.56216,                 1.0598,                0.28347,              0.0019248,              0.0019248,              0.0019248
                     22,                0.57541,                 1.1744,                 0.2933,                0.76973,                 0.6004,                0.68933,                0.42814,                0.54932,                 1.0361,                0.28028,              0.0019208,              0.0019208,              0.0019208
                     23,                0.57222,                 1.1534,                0.29387,                0.76335,                0.62965,                0.69712,                0.44207,                0.53674,                0.97921,                0.27868,              0.0019168,              0.0019168,              0.0019168
                     24,                0.57059,                 1.1423,                0.29244,                0.69663,                0.61445,                0.63434,                 0.3943,                0.54811,                 1.0413,                0.28085,              0.0019129,              0.0019129,              0.0019129
                     25,                0.55847,                  1.151,                0.29254,                0.76277,                0.64097,                0.70193,                0.43779,                0.53918,                0.99303,                0.27732,              0.0019089,              0.0019089,              0.0019089
                     26,                0.55816,                 1.0885,                0.29143,                0.73525,                0.65438,                0.69364,                0.45113,                0.53056,                0.96342,                0.27442,               0.001905,               0.001905,               0.001905
                     27,                0.55911,                  1.126,                0.28983,                0.71731,                0.63565,                0.66179,                0.41778,                0.56584,                 1.0658,                0.28767,               0.001901,               0.001901,               0.001901
                     28,                0.55524,                 1.0797,                0.28808,                0.79329,                0.63348,                0.68989,                0.43559,                0.53661,                0.98183,                0.27838,               0.001897,               0.001897,               0.001897
                     29,                0.55444,                 1.0984,                 0.2909,                0.74233,                0.66747,                0.72868,                0.47185,                0.52689,                0.96674,                0.27909,              0.0018931,              0.0018931,              0.0018931
                     30,                0.54674,                 1.0867,                0.28833,                0.73614,                0.66608,                0.69799,                0.43383,                0.53635,                0.95789,                0.27772,              0.0018891,              0.0018891,              0.0018891
                     31,                0.53723,                 1.0419,                0.28715,                0.78951,                0.64784,                0.70872,                0.46186,                0.52176,                0.99208,                0.27563,              0.0018852,              0.0018852,              0.0018852
                     32,                 0.5415,                  1.071,                0.28536,                0.77297,                0.65468,                0.71016,                0.45307,                0.51851,                0.96835,                0.27736,              0.0018812,              0.0018812,              0.0018812
                     33,                0.54307,                 1.0728,                0.28708,                 0.8204,                0.60121,                0.71699,                0.46573,                0.51993,                0.91356,                0.27683,              0.0018772,              0.0018772,              0.0018772
                     34,                 0.5391,                 1.0388,                0.28792,                0.76239,                0.67704,                0.72181,                0.45952,                0.53677,                 0.9481,                0.27698,              0.0018733,              0.0018733,              0.0018733
                     35,                0.53915,                 1.0229,                0.28642,                0.78426,                 0.6519,                0.72457,                 0.4692,                0.50526,                0.94072,                0.27409,              0.0018693,              0.0018693,              0.0018693
                     36,                0.52749,                 1.0235,                0.28548,                0.76524,                 0.6911,                0.72265,                0.47011,                0.52607,                0.90694,                0.27867,              0.0018654,              0.0018654,              0.0018654
                     37,                0.52789,                 1.0293,                0.28232,                0.81845,                0.63986,                0.72925,                0.47916,                0.51496,                0.90167,                0.27542,              0.0018614,              0.0018614,              0.0018614
                     38,                0.53404,                 1.0231,                0.28427,                0.83481,                  0.622,                0.73907,                0.47824,                0.50088,                0.86218,                 0.2727,              0.0018574,              0.0018574,              0.0018574
                     39,                0.52055,                 1.0188,                 0.2827,                0.74186,                0.64585,                0.70062,                0.46499,                0.51318,                0.96414,                0.27431,              0.0018535,              0.0018535,              0.0018535
                     40,                0.51926,                 1.0183,                0.28153,                0.77608,                0.67731,                 0.7342,                0.49726,                0.49382,                 0.8716,                0.27061,              0.0018495,              0.0018495,              0.0018495
                     41,                0.53148,                 1.0272,                0.28411,                 0.7567,                0.69224,                  0.741,                 0.4936,                0.49627,                 0.8626,                0.26807,              0.0018456,              0.0018456,              0.0018456
                     42,                0.52868,                 1.0196,                0.28332,                0.80029,                0.66778,                0.73208,                0.48966,                 0.5006,                0.90195,                0.27271,              0.0018416,              0.0018416,              0.0018416
                     43,                0.50522,                 0.9593,                0.27762,                0.81044,                0.66208,                0.73619,                0.50096,                0.48896,                0.86865,                0.26875,              0.0018376,              0.0018376,              0.0018376
                     44,                0.51871,                0.97985,                 0.2804,                0.76217,                0.72252,                0.75153,                0.51127,                0.49272,                0.87427,                0.26713,              0.0018337,              0.0018337,              0.0018337
                     45,                0.51889,                  1.003,                0.27975,                0.79826,                0.68156,                0.75682,                0.49826,                0.50709,                0.84159,                0.27352,              0.0018297,              0.0018297,              0.0018297
                     46,                0.50241,                0.95855,                 0.2776,                0.80567,                 0.6503,                0.73001,                0.49943,                0.49788,                 0.8624,                0.27131,              0.0018258,              0.0018258,              0.0018258
                     47,                0.50427,                 0.9821,                0.27687,                0.81777,                0.70112,                0.75099,                0.50445,                0.49515,                 0.8851,                0.27091,              0.0018218,              0.0018218,              0.0018218
                     48,                0.50411,                0.98434,                0.27941,                0.83091,                0.67344,                 0.7618,                0.52574,                0.47014,                0.83227,                0.26439,              0.0018178,              0.0018178,              0.0018178
                     49,                0.50674,                0.97114,                0.27965,                 0.8182,                0.69983,                0.76759,                0.51916,                0.47583,                0.82478,                0.26572,              0.0018139,              0.0018139,              0.0018139
                     50,                0.51325,                0.96505,                0.27756,                 0.8233,                0.65923,                0.73597,                0.49615,                0.49148,                0.85947,                 0.2697,              0.0018099,              0.0018099,              0.0018099
                     51,                0.51314,                 1.0023,                0.27892,                0.79333,                0.67098,                0.72643,                0.47837,                0.49734,                0.92865,                0.26865,               0.001806,               0.001806,               0.001806
                     52,                0.49365,                0.92951,                 0.2752,                0.79047,                0.69176,                0.76499,                0.50506,                0.48881,                0.83464,                 0.2696,               0.001802,               0.001802,               0.001802
                     53,                0.50276,                0.93683,                0.27593,                0.84771,                 0.6853,                0.78226,                 0.5234,                0.48629,                0.83368,                0.26782,               0.001798,               0.001798,               0.001798
                     54,                0.49058,                0.93567,                0.27687,                0.80987,                0.73104,                0.77649,                0.52403,                0.48015,                 0.8316,                0.26802,              0.0017941,              0.0017941,              0.0017941
                     55,                0.49707,                0.91079,                0.27588,                0.80491,                0.72809,                0.76693,                0.52751,                0.47267,                0.82572,                0.26646,              0.0017901,              0.0017901,              0.0017901
                     56,                0.49149,                0.93171,                0.27488,                0.70991,                0.61479,                0.66636,                0.44053,                0.50694,                 1.0051,                0.27642,              0.0017862,              0.0017862,              0.0017862
                     57,                0.48845,                0.93056,                0.27404,                0.85005,                0.67739,                0.78201,                0.53287,                0.47769,                0.79097,                0.26703,              0.0017822,              0.0017822,              0.0017822
                     58,                0.48904,                0.94388,                0.27146,                0.80215,                0.63107,                0.72198,                0.48478,                0.50561,                0.93512,                0.27239,              0.0017782,              0.0017782,              0.0017782
                     59,                0.48464,                0.91129,                0.27309,                0.84638,                0.69419,                0.77718,                0.53101,                0.46133,                0.79863,                0.26456,              0.0017743,              0.0017743,              0.0017743
                     60,                0.47229,                0.90085,                0.27011,                0.80103,                0.72797,                0.76642,                0.51545,                 0.4857,                0.81025,                0.26644,              0.0017703,              0.0017703,              0.0017703
                     61,                0.49485,                0.89599,                0.27358,                0.86643,                0.70102,                0.78883,                0.53733,                0.46817,                0.80386,                0.26409,              0.0017664,              0.0017664,              0.0017664
                     62,                0.49676,                0.93498,                0.27477,                0.82811,                0.71477,                0.77689,                0.53437,                 0.4673,                 0.8071,                0.26485,              0.0017624,              0.0017624,              0.0017624
                     63,                0.47115,                0.89803,                 0.2703,                0.85164,                0.70912,                 0.7929,                0.53557,                0.46071,                0.78639,                0.26263,              0.0017584,              0.0017584,              0.0017584
                     64,                0.49507,                0.92817,                0.27756,                0.81455,                0.70347,                0.76238,                0.51987,                0.47068,                0.83285,                0.26799,              0.0017545,              0.0017545,              0.0017545
                     65,                0.46659,                0.86591,                0.26909,                0.91188,                0.67051,                0.78578,                0.54691,                0.45754,                0.77032,                0.26434,              0.0017505,              0.0017505,              0.0017505
                     66,                0.48351,                0.90006,                  0.272,                0.85126,                0.72011,                0.80097,                 0.5596,                0.45481,                0.76787,                0.26078,              0.0017466,              0.0017466,              0.0017466
                     67,                0.47648,                0.88588,                0.27162,                0.83885,                0.73089,                0.80025,                0.55773,                0.45363,                0.74709,                0.26193,              0.0017426,              0.0017426,              0.0017426
                     68,                0.47482,                0.87718,                0.27159,                0.81578,                0.73006,                0.79498,                0.54615,                0.45702,                 0.7527,                0.26227,              0.0017386,              0.0017386,              0.0017386
                     69,                 0.4829,                0.88945,                 0.2722,                0.87617,                0.70086,                0.80844,                0.56334,                0.45963,                0.75403,                0.26351,              0.0017347,              0.0017347,              0.0017347
                     70,                0.46371,                0.86139,                0.26848,                0.85696,                0.71098,                0.79232,                0.54628,                0.45791,                0.77146,                0.26333,              0.0017307,              0.0017307,              0.0017307
                     71,                0.46333,                0.87119,                0.27004,                0.82653,                0.70137,                0.76695,                0.54269,                0.46534,                0.80123,                0.26451,              0.0017268,              0.0017268,              0.0017268
                     72,                0.47443,                0.88866,                0.27212,                0.85947,                0.73564,                0.80206,                0.54741,                 0.4536,                0.73611,                0.25779,              0.0017228,              0.0017228,              0.0017228
                     73,                0.46344,                0.85443,                0.26747,                 0.8315,                 0.7362,                0.79741,                0.56861,                0.44561,                0.71842,                0.25969,              0.0017188,              0.0017188,              0.0017188
                     74,                0.45637,                0.86657,                0.26476,                0.81543,                0.75519,                0.77969,                0.54571,                0.44803,                0.78437,                  0.261,              0.0017149,              0.0017149,              0.0017149
                     75,                0.46243,                0.87735,                0.26737,                0.86211,                0.74481,                0.81095,                0.57204,                0.43868,                0.70381,                0.25707,              0.0017109,              0.0017109,              0.0017109
                     76,                0.45473,                0.84251,                0.26566,                0.87201,                0.72717,                0.81262,                 0.5661,                0.44857,                0.71731,                  0.259,               0.001707,               0.001707,               0.001707
                     77,                0.45534,                0.85235,                0.26698,                 0.9094,                0.69481,                0.81964,                0.58084,                 0.4312,                0.69546,                0.25744,               0.001703,               0.001703,               0.001703
                     78,                0.45921,                 0.8322,                 0.2684,                0.85552,                0.71224,                0.79024,                0.56245,                0.44937,                0.69943,                0.26265,               0.001699,               0.001699,               0.001699
                     79,                 0.4617,                0.86992,                0.26879,                0.87596,                0.73183,                0.80244,                 0.5704,                 0.4475,                0.72285,                0.25866,              0.0016951,              0.0016951,              0.0016951
                     80,                0.45549,                0.86045,                0.26516,                0.85318,                 0.7324,                0.80446,                 0.5675,                0.43893,                0.75034,                0.25784,              0.0016911,              0.0016911,              0.0016911
                     81,                0.45847,                 0.8463,                0.26599,                0.82772,                0.73979,                0.80395,                0.55331,                0.44662,                0.72021,                0.25934,              0.0016872,              0.0016872,              0.0016872
                     82,                0.46178,                0.86172,                0.26886,                0.90122,                0.71734,                0.81566,                0.57053,                0.43959,                0.71753,                0.25739,              0.0016832,              0.0016832,              0.0016832
                     83,                0.44399,                0.81795,                0.26173,                0.87465,                0.75556,                0.81944,                0.57678,                0.43872,                0.71594,                0.25496,              0.0016792,              0.0016792,              0.0016792
                     84,                 0.4455,                0.81717,                0.26408,                0.85428,                0.74978,                0.81108,                0.56413,                0.44815,                0.71293,                0.25907,              0.0016753,              0.0016753,              0.0016753
                     85,                0.44946,                 0.8298,                0.26448,                0.89669,                0.74119,                0.82051,                0.57947,                0.43251,                0.69871,                0.25468,              0.0016713,              0.0016713,              0.0016713
                     86,                0.45257,                0.83322,                0.26544,                0.83549,                 0.7525,                0.81788,                0.57233,                0.43378,                0.70768,                0.25629,              0.0016674,              0.0016674,              0.0016674
                     87,                0.44648,                0.81485,                0.26222,                0.88473,                  0.758,                0.83012,                0.58886,                0.42751,                0.68929,                0.25595,              0.0016634,              0.0016634,              0.0016634
                     88,                0.44271,                0.82736,                0.26399,                0.87198,                0.73823,                0.81058,                0.58473,                0.42451,                0.68425,                0.25434,              0.0016594,              0.0016594,              0.0016594
                     89,                 0.4472,                0.80425,                0.26507,                0.88488,                0.74789,                0.83362,                0.59848,                0.42194,                0.67423,                0.25374,              0.0016555,              0.0016555,              0.0016555
                     90,                0.44966,                0.80773,                0.26509,                0.87335,                0.76653,                0.83007,                0.58626,                0.43193,                0.69933,                0.25645,              0.0016515,              0.0016515,              0.0016515
                     91,                0.43837,                0.80064,                0.26413,                0.85278,                0.74923,                0.81505,                0.57686,                 0.4333,                0.72071,                0.25504,              0.0016476,              0.0016476,              0.0016476
                     92,                0.43614,                0.79123,                0.26168,                0.89279,                0.74279,                 0.8305,                0.59764,                0.42398,                0.68479,                0.25358,              0.0016436,              0.0016436,              0.0016436
                     93,                0.44335,                0.81162,                0.26333,                 0.8383,                0.75173,                 0.8193,                0.57654,                0.42115,                 0.6964,                0.25454,              0.0016396,              0.0016396,              0.0016396
                     94,                0.43265,                0.79029,                0.26115,                0.88785,                0.76655,                0.83719,                0.60047,                0.41053,                0.66853,                0.25208,              0.0016357,              0.0016357,              0.0016357
                     95,                0.44192,                0.82613,                0.26248,                0.86963,                0.74019,                0.82215,                0.59997,                0.41206,                0.69394,                 0.2516,              0.0016317,              0.0016317,              0.0016317
                     96,                0.43423,                0.79658,                0.26066,                0.87872,                0.76105,                0.83259,                0.58594,                0.42433,                0.68356,                0.25635,              0.0016278,              0.0016278,              0.0016278
                     97,                0.43072,                0.80248,                0.25823,                0.91626,                 0.7502,                0.84227,                0.58994,                0.41815,                0.66934,                0.25402,              0.0016238,              0.0016238,              0.0016238
                     98,                 0.4164,                0.77908,                 0.2583,                0.88099,                0.77603,                0.83441,                0.58204,                0.42963,                0.68527,                0.25628,              0.0016198,              0.0016198,              0.0016198
                     99,                0.44158,                0.79684,                0.26367,                0.88935,                0.76131,                0.83496,                0.60501,                0.41743,                0.66183,                0.25242,              0.0016159,              0.0016159,              0.0016159
                    100,                0.43154,                0.80134,                0.26042,                 0.8877,                0.76325,                0.82843,                0.59625,                0.41474,                0.65594,                0.25337,              0.0016119,              0.0016119,              0.0016119
                    101,                0.42796,                0.78371,                0.26002,                0.89613,                0.76185,                0.84781,                 0.6073,                0.40674,                0.64901,                0.25064,               0.001608,               0.001608,               0.001608
                    102,                 0.4394,                0.81379,                 0.2624,                  0.915,                0.75304,                 0.8491,                0.60062,                0.41571,                  0.649,                0.25311,               0.001604,               0.001604,               0.001604
                    103,                0.42577,                0.78103,                0.25939,                 0.8854,                 0.7589,                0.84367,                 0.6105,                0.40846,                0.63934,                0.25097,                 0.0016,                 0.0016,                 0.0016
                    104,                0.42086,                0.77486,                0.25856,                0.88095,                0.78252,                0.85081,                0.61684,                0.40622,                0.63567,                0.25181,              0.0015961,              0.0015961,              0.0015961
                    105,                0.42636,                0.77675,                0.25969,                0.85131,                0.78415,                0.84229,                0.60961,                0.40385,                0.64057,                0.24976,              0.0015921,              0.0015921,              0.0015921
                    106,                 0.4317,                0.77596,                 0.2613,                0.89706,                0.76582,                0.84792,                0.61456,                0.39905,                0.63694,                0.24821,              0.0015882,              0.0015882,              0.0015882
                    107,                 0.4244,                0.78747,                0.25808,                0.90247,                0.76179,                0.84659,                0.62146,                0.40285,                0.63366,                0.24856,              0.0015842,              0.0015842,              0.0015842
                    108,                0.42149,                0.78893,                0.25815,                  0.918,                0.74728,                0.84435,                0.61329,                 0.4064,                0.64034,                0.24983,              0.0015802,              0.0015802,              0.0015802
                    109,                0.42416,                0.77373,                0.26128,                0.92429,                 0.7616,                0.85166,                0.62567,                0.40162,                0.63642,                0.24865,              0.0015763,              0.0015763,              0.0015763
                    110,                0.41441,                0.75874,                0.25668,                0.89198,                0.77329,                 0.8433,                0.61758,                0.39895,                0.62672,                0.24864,              0.0015723,              0.0015723,              0.0015723
                    111,                0.42863,                0.78027,                 0.2597,                0.89611,                0.78573,                0.85002,                0.61406,                0.40684,                0.64753,                0.25087,              0.0015684,              0.0015684,              0.0015684
                    112,                0.41485,                0.75176,                 0.2572,                0.91757,                0.76029,                0.84118,                0.61615,                 0.3933,                0.62893,                0.24986,              0.0015644,              0.0015644,              0.0015644
                    113,                 0.4312,                0.78759,                0.25975,                0.88456,                0.77068,                0.84041,                 0.6009,                0.39901,                0.63329,                0.25018,              0.0015604,              0.0015604,              0.0015604
                    114,                0.41733,                 0.7625,                0.25717,                0.87739,                0.78445,                0.84465,                0.61179,                0.41023,                0.63182,                0.25055,              0.0015565,              0.0015565,              0.0015565
                    115,                0.42077,                0.77028,                0.25825,                0.86264,                0.77428,                0.83675,                0.61187,                0.40403,                0.63072,                0.25083,              0.0015525,              0.0015525,              0.0015525
                    116,                 0.4092,                0.75744,                0.25627,                0.88366,                0.78861,                0.85108,                0.60637,                0.40381,                0.62156,                0.25063,              0.0015486,              0.0015486,              0.0015486
                    117,                0.41281,                0.75474,                 0.2575,                0.89939,                0.77155,                0.84616,                0.61842,                0.39598,                0.62782,                0.24904,              0.0015446,              0.0015446,              0.0015446
                    118,                0.41513,                0.75267,                0.25548,                0.92332,                0.79238,                0.84906,                0.61659,                0.39356,                 0.6279,                0.24781,              0.0015406,              0.0015406,              0.0015406
                    119,                0.42101,                0.74285,                 0.2588,                0.94405,                0.76381,                0.85615,                0.61873,                0.39957,                0.60559,                0.24859,              0.0015367,              0.0015367,              0.0015367
                    120,                0.41938,                0.76882,                 0.2561,                0.90124,                0.76186,                0.84453,                0.62192,                0.39389,                0.61874,                0.24889,              0.0015327,              0.0015327,              0.0015327
                    121,                0.40781,                 0.7458,                0.25563,                0.90107,                0.77091,                 0.8489,                0.62974,                0.38903,                0.60949,                0.24975,              0.0015288,              0.0015288,              0.0015288
                    122,                0.41918,                0.75893,                0.25582,                0.89117,                0.77629,                0.84514,                0.62432,                0.38909,                0.61322,                0.24656,              0.0015248,              0.0015248,              0.0015248
                    123,                0.41252,                0.75465,                0.25606,                0.91757,                0.76332,                0.84659,                0.62396,                  0.391,                 0.6184,                0.24751,              0.0015208,              0.0015208,              0.0015208
                    124,                0.40348,                0.73449,                0.25479,                0.92889,                0.75574,                 0.8462,                0.62443,                0.39438,                0.61556,                0.24889,              0.0015169,              0.0015169,              0.0015169
                    125,                0.40844,                0.74354,                0.25712,                0.93114,                0.76377,                0.84937,                 0.6218,                0.39237,                0.59592,                0.24875,              0.0015129,              0.0015129,              0.0015129
                    126,                0.38632,                0.71493,                0.25068,                0.91586,                0.77007,                0.85266,                 0.6347,                0.38894,                0.61295,                0.24607,               0.001509,               0.001509,               0.001509
                    127,                0.40553,                0.74783,                0.25383,                 0.9217,                0.75648,                0.85024,                0.63756,                0.39325,                0.60895,                0.24595,               0.001505,               0.001505,               0.001505
                    128,                 0.4104,                0.75821,                0.25599,                0.94141,                0.75925,                0.85041,                0.63832,                0.38798,                0.60892,                 0.2465,               0.001501,               0.001501,               0.001501
                    129,                0.39865,                0.72121,                0.25412,                0.92046,                0.78233,                0.85785,                0.64989,                0.37549,                0.58497,                0.24411,              0.0014971,              0.0014971,              0.0014971
                    130,                0.40976,                0.74088,                0.25502,                0.91748,                0.78305,                0.86576,                0.64338,                0.38195,                0.59327,                 0.2432,              0.0014931,              0.0014931,              0.0014931
